"id","name","address","rooms","area","latitude","longitude","project_type_id","progress","project_doc","project_cover_img","project_imgs","details","min_price","slug","created_at","updated_at","installment_length"
"1","Anika Heights","PLOT : 58-59 LIBERTY COMMERCIAL, OPPOSITE THEME PARK, BAHRIA TOWN ,KARACHI","1 & 2 Bedroom","17","45.0000000","65.0000000","1","ready for possession","1621509671.pdf","cover_1621509671.png
","1621509671_Villa-The_Valley_-_Eden-46707-1609678390159.jpeg|1621509671_mobileimg1-1.png
","GREAT INVESTMENT OPPORTUNITY","4500000.00000000","anika-heights","2021-05-20 13:45:38","2021-05-20 14:16:06","0"
"2","FIRDOUS PRIDE","Main Jinnah Avenue Commercial,  Bahria Town Karachi","4 & 5 Rooms","1","85.0000000","65.0000000","1","completed","1622198478.pdf","cover_1622198478.png","1622198478_pride-min-1-1 (1).png","Firdous Pride, A beautiful piece of architecture, designed for urban living in Karachi.","15100000.00000000","firdous-pride","2021-05-28 10:41:18","2021-05-28 11:06:29","36"
